titulo,descripcion,categoria,texto_final
Nigerian stars dominate All Africa Music Awards,Global superstar Burna Boy claimed the prestigious Album of the Year award for his latest work No Sign of Weakness.,World,nigerian stars dominate all africa music awards global superstar burna boy claimed the prestigious album of the year award for his latest work no sign of weakness
Monkeys on the loose in St Louis after four-day search,Local officials said they do not know where the exotic animals came from or how many are at large.,World,monkeys on the loose in st louis after four day search local officials said they do not know where the exotic animals came from or how many are at large
'Hounded and harassed': The former pop star taking on Uganda's long-time president,Bobi Wine - a former musician - has been arrested numerous times as he challenges President Yoweri Museveni.,World,hounded and harassed the former pop star taking on uganda s long time president bobi wine a former musician has been arrested numerous times as he challenges president yoweri museveni
Watch: Moment skier and dog swept along by avalanche,"Footage recorded by Spanish skier Ares Masip shows the incident on Pic de l'Hortell, a mountain in Andorra.",World,watch moment skier and dog swept along by avalanche footage recorded by spanish skier ares masip shows the incident on pic de l hortell a mountain in andorra
He once criticised African leaders who cling to power. Now he wants a seventh term,"Yoweri Museveni, 81, says he has brought stability to Uganda. His critics complain of political oppression.",World,he once criticised african leaders who cling to power now he wants a seventh term yoweri museveni says he has brought stability to uganda his critics complain of political oppression
Thousands of tourists stranded in Lapland as cold grounds flights,All flights out of Kittila airport in northern Finland were cancelled on Sunday with temperatures falling as low as -38C.,World,thousands of tourists stranded in lapland as cold grounds flights all flights out of kittila airport in northern finland were cancelled on sunday with temperatures falling as low as c
Are You Dead?: The viral Chinese app for young people living alone,A new bleak-sounding app has been downloaded in droves by many youth who live by themselves - and fear dying alone.,World,are you dead the viral chinese app for young people living alone a new bleak sounding app has been downloaded in droves by many youth who live by themselves and fear dying alone
Avalanche kills British skier in French Alps,An avalanche near La Plagne resort in south-eastern France has killed a British man believed to be in his 50s.,World,avalanche kills british skier in french alps an avalanche near la plagne resort in south eastern france has killed a british man believed to be in his s
"Ai, Japanese chimpanzee who counted and painted, dies at 49",Ai's cognitive abilities had been studied extensively since she was brought to a Japanese institute in 1977.,World,ai japanese chimpanzee who counted and painted dies at ai s cognitive abilities had been studied extensively since she was brought to a japanese institute in
Elephant kills 20 in Indian state as rescue efforts continue,The deaths occurred between 1 and 9 January in a part of one of Asia's largest Sal forests.,World,elephant kills in indian state as rescue efforts continue the deaths occurred between and january in a part of one of asia s largest sal forests
"Timothée Chalamet, Teyana Taylor, Adolescence and other highlights from the Golden Globes",One Battle After Another and Adolescence swept the Golden Globes as Hollywood's awards season kicks off.,World,timoth e chalamet teyana taylor adolescence and other highlights from the golden globes one battle after another and adolescence swept the golden globes as hollywood s awards season kicks off
Golden Globes top moments: Amy Poehler and Snoop Dogg to K-Pop triumphs,"The annual award ceremony included plenty of star-power and banter, while bringing the Oscars race into focus.",World,golden globes top moments amy poehler and snoop dogg to k pop triumphs the annual award ceremony included plenty of star power and banter while bringing the oscars race into focus
Golden Globes 2026: The full list of winners,"The stars of Adolescence, including Stephen Graham, join Hollywood A-listers on the winners' podium.",World,golden globes the full list of winners the stars of adolescence including stephen graham join hollywood a listers on the winners podium
"Iran warns it will retaliate if US attacks, as hundreds killed in protests","President Trump said on Sunday that the US military was considering ""very strong options"" in Iran.",World,iran warns it will retaliate if us attacks as hundreds killed in protests president trump said on sunday that the us military was considering very strong options in iran
US figure skater whose parents were killed in DC plane crash heads to Olympics,Maxim Naumov's parents were among 67 people killed last January when a commercial plane collided mid-air with a military helicopter.,World,us figure skater whose parents were killed in dc plane crash heads to olympics maxim naumov s parents were among people killed last january when a commercial plane collided mid air with a military helicopter
"Meta blocks 550,000 accounts under Australia's social media ban","The new law, which came into effect in December, is aimed at protecting children from online harm.",World,meta blocks accounts under australia s social media ban the new law which came into effect in december is aimed at protecting children from online harm
"Himalayas bare and rocky after reduced winter snowfall, scientists warn",Experts say dwindling snowfall during winter will impact the lives and livelihoods of millions.,World,himalayas bare and rocky after reduced winter snowfall scientists warn experts say dwindling snowfall during winter will impact the lives and livelihoods of millions
"More federal agents to be sent to Minnesota, Trump administration says",The move comes after protests against immigration enforcement have been held across the US after a woman was shot by an ICE agent.,World,more federal agents to be sent to minnesota trump administration says the move comes after protests against immigration enforcement have been held across the us after a woman was shot by an ice agent
Sudan's government returns to capital after nearly 3 years of war,The military-backed government is back in Khartoum after being driven out by its paramilitary rival.,World,sudan s government returns to capital after nearly years of war the military backed government is back in khartoum after being driven out by its paramilitary rival
Thousands march and dozens arrested in Minneapolis protests against ICE,"Days after the death of Renee Good, protests continue in Minneapolis and cities across the US.",World,thousands march and dozens arrested in minneapolis protests against ice days after the death of renee good protests continue in minneapolis and cities across the us
One person dead and 300 buildings destroyed in Australia bushfires,A state of emergency has been declared in Victoria as thousands of firefighters battle the blaze.,World,one person dead and buildings destroyed in australia bushfires a state of emergency has been declared in victoria as thousands of firefighters battle the blaze
Bride and groom killed by gas explosion day after Pakistan wedding,Eight people were killed after a gas cylinder exploded at a house the morning after the wedding celebration.,World,bride and groom killed by gas explosion day after pakistan wedding eight people were killed after a gas cylinder exploded at a house the morning after the wedding celebration
Last Kurdish forces leave Aleppo after ceasefire deal reached,The deal was announced in the early hours of Sunday morning after a week of violent clashes.,World,last kurdish forces leave aleppo after ceasefire deal reached the deal was announced in the early hours of sunday morning after a week of violent clashes
"Bob Weir, Grateful Dead co-founder, dies aged 78",Weir was a fixture in the psychedelic rock group and its various spin-offs over 60 years.,World,bob weir grateful dead co founder dies aged weir was a fixture in the psychedelic rock group and its various spin offs over years
'I had no electricity for six months': US families struggle with soaring energy prices,"Rising electricity costs have emerged as a key cost-of-living concern, pushing families further into debt.",World,i had no electricity for six months us families struggle with soaring energy prices rising electricity costs have emerged as a key cost of living concern pushing families further into debt
'The answer cannot be nothing': The battle over Canada's mystery brain disease,A small Canadian province feared it had a mystery neurological illness on its hands. The search for answers set off a battle for the truth.,World,the answer cannot be nothing the battle over canada s mystery brain disease a small canadian province feared it had a mystery neurological illness on its hands the search for answers set off a battle for the truth
'Hermès of durian': The luxury fruit cashing in on China's billion-dollar appetite,"A former gold mining town in Malaysia has seen its riches turn a new shade of yellow, thanks to this pungent fruit.",World,herm s of durian the luxury fruit cashing in on china s billion dollar appetite a former gold mining town in malaysia has seen its riches turn a new shade of yellow thanks to this pungent fruit
Author Chimamanda Ngozi Adichie's family accuse hospital of negligence over son's death,A hospital in Lagos denies medical negligence over the death of Chimamanda Ngozi Adichie's 21-month-old.,World,author chimamanda ngozi adichie s family accuse hospital of negligence over son s death a hospital in lagos denies medical negligence over the death of chimamanda ngozi adichie s month old
'There wasn't even time for CPR': Iran hospitals overwhelmed with dead and injured protesters,"Hundreds of people are believed to have been killed or injured by the security forces, with more than 70 bodies brought to one hospital.",World,there wasn t even time for cpr iran hospitals overwhelmed with dead and injured protesters hundreds of people are believed to have been killed or injured by the security forces with more than bodies brought to one hospital
Rare first Superman comic once stolen from Nicolas Cage sells for $15m,"Fewer than 100 copies of Action Comics No 1, which introduced the world to Superman, are thought to exist.",World,rare first superman comic once stolen from nicolas cage sells for m fewer than copies of action comics no which introduced the world to superman are thought to exist
Video emerges of Minneapolis shooting filmed by ICE agent who opened fire,The clip shows the moments before gunfire rang out on a Minneapolis street.,World,video emerges of minneapolis shooting filmed by ice agent who opened fire the clip shows the moments before gunfire rang out on a minneapolis street
Rescuers race to find dozens missing in deadly Philippines landfill collapse,The landslide happened when a mountain of rubbish collapsed at a landfill site in the central Philippines.,World,rescuers race to find dozens missing in deadly philippines landfill collapse the landslide happened when a mountain of rubbish collapsed at a landfill site in the central philippines
Swiss search souls and question government after ski resort fire,The New Year's Eve fire at a bar in Crans-Montana killed 40 people and injured 116.,World,swiss search souls and question government after ski resort fire the new year s eve fire at a bar in crans montana killed people and injured
"Night of Swiss ski bar fire 'apocalyptic', woman tells Crans-Montana memorial",A woman named Marie who was in a bar opposite Le Constellation helped the injured as they ran from the flames.,World,night of swiss ski bar fire apocalyptic woman tells crans montana memorial a woman named marie who was in a bar opposite le constellation helped the injured as they ran from the flames
ICE agent in Minnesota shooting was dragged by car in June,The officer was injured in a separate case that also involved a car pulling away during an investigation.,World,ice agent in minnesota shooting was dragged by car in june the officer was injured in a separate case that also involved a car pulling away during an investigation
Iran leader says protesters are vandals trying to please Trump,"The largest demonstrations in years have left at least 48 protesters dead, human rights groups say. Trump told reporters on Friday that Iran was in ""big trouble"".",World,iran leader says protesters are vandals trying to please trump the largest demonstrations in years have left at least protesters dead human rights groups say trump told reporters on friday that iran was in big trouble
'An attack on women's dignity': Walls whitewashed after silhouettes defaced in Indian city,The brightly coloured murals in Gwalior in Madhya Pradesh state were part of a project to beautify the city.,World,an attack on women s dignity walls whitewashed after silhouettes defaced in indian city the brightly coloured murals in gwalior in madhya pradesh state were part of a project to beautify the city
Romance and parenthood feel remote in Ukraine: 'I haven't had a date since before the war',Tumbling marriage and birth rates are shaping the future of a country whose population was already falling.,World,romance and parenthood feel remote in ukraine i haven t had a date since before the war tumbling marriage and birth rates are shaping the future of a country whose population was already falling
Protesters take to the streets of Tehran on Friday night,"The protests, now in their 13th night, erupted over the economy and have grown into the largest in years.",World,protesters take to the streets of tehran on friday night the protests now in their th night erupted over the economy and have grown into the largest in years
"'I feel free': Australia's social media ban, one month on","Some say they've lost interest in social media since the ban, while others say nothing has changed.",World,i feel free australia s social media ban one month on some say they ve lost interest in social media since the ban while others say nothing has changed
"More economical to demolish East Wing than renovate, White House says","Officials say the East Wing had ""chronic water intrusion, accelerated deterioration and mould contamination"".",World,more economical to demolish east wing than renovate white house says officials say the east wing had chronic water intrusion accelerated deterioration and mould contamination
Police rescue cows from burning barn,"Officers guided the cows to safety during the rescue, with no injuries reported to animals or humans.",World,police rescue cows from burning barn officers guided the cows to safety during the rescue with no injuries reported to animals or humans
When does the Nasa Moon mission launch and who are the Artemis II crew?,"The first crewed Moon mission in 50 years could launch in February, preparing the way for a future landing.",World,when does the nasa moon mission launch and who are the artemis ii crew the first crewed moon mission in years could launch in february preparing the way for a future landing
EU reaches South America trade deal after 25 years of talks,"Some farmers in Europe opposed the deal, but the EU Commission said it had listened to their concerns.",World,eu reaches south america trade deal after years of talks some farmers in europe opposed the deal but the eu commission said it had listened to their concerns
"Who was Renee Nicole Good, the woman killed by ICE?","A mother of three and award-winning poet, Good's sudden death sparks protests across the US.",World,who was renee nicole good the woman killed by ice a mother of three and award winning poet good s sudden death sparks protests across the us
Trump warns of more Nigeria strikes if Christians 'continue to be killed',The US president made the comment after being asked if the Christmas Day strikes were part of a broader campaign.,World,trump warns of more nigeria strikes if christians continue to be killed the us president made the comment after being asked if the christmas day strikes were part of a broader campaign
Owner of Swiss ski bar held in custody after deadly New Year's Eve fire,"Jacques Moretti is being held as a potential flight risk, Swiss media reports say.",World,owner of swiss ski bar held in custody after deadly new year s eve fire jacques moretti is being held as a potential flight risk swiss media reports say
"Almost 13,000 Irish passports to be re-issued","In a statement, the Irish Department of Foreign Affairs said the Passport Service ""sincerely regrets"" the issue.",World,almost irish passports to be re issued in a statement the irish department of foreign affairs said the passport service sincerely regrets the issue
Latest plans for White House ballroom revealed,President Trump's architect told the National Capital Planning Commission that the new ballroom will match the height of the White House.,World,latest plans for white house ballroom revealed president trump s architect told the national capital planning commission that the new ballroom will match the height of the white house
Why are there huge protests going on in Iran?,Anti-government protests in Iran have continued for the 13th consecutive day.,World,why are there huge protests going on in iran anti government protests in iran have continued for the th consecutive day
Trump's warning looms over Iran protests response,"Iranian authorities appear to be unusually restrained in reacting to mass protests, a possible result of Donald Trump's threat to intervene.",World,trump s warning looms over iran protests response iranian authorities appear to be unusually restrained in reacting to mass protests a possible result of donald trump s threat to intervene
Day of mourning for bar fire victims in Switzerland,Church bells rang across the country for five minutes to commemorate the young people killed in the bar fire.,World,day of mourning for bar fire victims in switzerland church bells rang across the country for five minutes to commemorate the young people killed in the bar fire
Trial starts of man accused of inciting teenagers to harm themselves online,Prosecutors in Hamburg accuse him of grooming children and teenagers to harm themselves live online.,World,trial starts of man accused of inciting teenagers to harm themselves online prosecutors in hamburg accuse him of grooming children and teenagers to harm themselves live online
The musician and the strongman leader - what you need to know about Uganda's election,Voters could propel a leader into a fifth decade in power or back a change candidate.,World,the musician and the strongman leader what you need to know about uganda s election voters could propel a leader into a fifth decade in power or back a change candidate
Second night of US protests over ICE shooting of woman in Minneapolis,"Protests over the killing of Renee Good took place in Houston, Cincinnati, Washington DC and Philadelphia.",World,second night of us protests over ice shooting of woman in minneapolis protests over the killing of renee good took place in houston cincinnati washington dc and philadelphia
"Reza Pahlavi, the exiled son of Iran's last shah at centre of protest chants",BBC News Persian profiles the former crown prince who is once again seeking a role in shaping his country's future.,World,reza pahlavi the exiled son of iran s last shah at centre of protest chants bbc news persian profiles the former crown prince who is once again seeking a role in shaping his country s future
Iran protests: 'People are more angry and determined now',People inside Iran tell the BBC why demonstrators are turning out in massive numbers.,World,iran protests people are more angry and determined now people inside iran tell the bbc why demonstrators are turning out in massive numbers
Russia hits Ukraine with rarely used Oreshnik missile in fresh strikes,"It is only the second time Moscow has deployed the hypersonic ballistic missile, which was first used to hit Dnipro in November.",World,russia hits ukraine with rarely used oreshnik missile in fresh strikes it is only the second time moscow has deployed the hypersonic ballistic missile which was first used to hit dnipro in november
"One dead, dozens trapped after giant landfill collapses in Philippines",Rescuers have pulled 12 injured sanitation workers from debris at the private landfill in Cebu City.,World,one dead dozens trapped after giant landfill collapses in philippines rescuers have pulled injured sanitation workers from debris at the private landfill in cebu city
Buildings in Tehran set on fire as demonstrations spread across Iran,"In video verified by BBC Persian, protesters in Iran can be heard chanting anti-government slogans.",World,buildings in tehran set on fire as demonstrations spread across iran in video verified by bbc persian protesters in iran can be heard chanting anti government slogans
Australians brace for 'property loss or worse' as bushfires destroy homes,All regions in Victoria are facing 'catastrophic' or 'extreme' fire warnings,World,australians brace for property loss or worse as bushfires destroy homes all regions in victoria are facing catastrophic or extreme fire warnings
Six whales die after mass stranding on remote NZ beach,Volunteers at Farewell Spit are racing against time to get 15 live whales back into sea.,World,six whales die after mass stranding on remote nz beach volunteers at farewell spit are racing against time to get live whales back into sea
'How do we look Indian?': Student's killing puts spotlight on racism in India,The murder of Anjel Chakma has triggered protests in India and revived demands for an anti-racism law.,World,how do we look indian student s killing puts spotlight on racism in india the murder of anjel chakma has triggered protests in india and revived demands for an anti racism law
"Huge anti-government protests in Tehran and other Iranian cities, videos show",Rallies on major roads in the capital and in Iran's second city were peaceful and not dispersed by security forces.,World,huge anti government protests in tehran and other iranian cities videos show rallies on major roads in the capital and in iran s second city were peaceful and not dispersed by security forces
The secret mission to fly a president's body back home - pilot speaks to the BBC,An ex-air force pilot explains how he carried out an undercover mission to fly Siad Barre's body home for burial.,World,the secret mission to fly a president s body back home pilot speaks to the bbc an ex air force pilot explains how he carried out an undercover mission to fly siad barre s body home for burial
US House expands healthcare subsidies but bill faces battle in Senate,Seventeen moderate Republicans defied their party leadership and sided with Democrats to help pass the bill.,World,us house expands healthcare subsidies but bill faces battle in senate seventeen moderate republicans defied their party leadership and sided with democrats to help pass the bill
Astronaut's 'serious medical condition' forces Nasa to end space station mission early,It is the first time in Nasa's over-65 year history that a mission will return early due to a health issue.,World,astronaut s serious medical condition forces nasa to end space station mission early it is the first time in nasa s over year history that a mission will return early due to a health issue
On the ground in Minneapolis as residents gather at shooting site,"Community members have rallied at a makeshift memorial for Renee Good, a day after she was fatally shot by a US immigration agent.",World,on the ground in minneapolis as residents gather at shooting site community members have rallied at a makeshift memorial for renee good a day after she was fatally shot by a us immigration agent
Child and man found dead in Dublin,Bodies of a boy and a man in his 40s are found at separate addresses in Clondalkin and Ballyfermot.,World,child and man found dead in dublin bodies of a boy and a man in his s are found at separate addresses in clondalkin and ballyfermot
Protests break out in Iranian capital Tehran,The protests on Thursday appear to be the most widespread since the movement began on December 28.,World,protests break out in iranian capital tehran the protests on thursday appear to be the most widespread since the movement began on december
"Eight people killed by Israeli air strikes, Gaza civil defence agency says","Four children including an 11-year-old girl are among those killed in the past 24 hours, the agency says.",World,eight people killed by israeli air strikes gaza civil defence agency says four children including an year old girl are among those killed in the past hours the agency says
Two starkly opposed Americas laid bare by deadly ICE shooting,The incident is threatening to inflame a deeply contentious debate over immigration enforcement.,World,two starkly opposed americas laid bare by deadly ice shooting the incident is threatening to inflame a deeply contentious debate over immigration enforcement
Weekly quiz: Which sport helped Timothée Chalamet win a Best Actor award?,How much attention did you pay to what happened in the world over the past seven days?,World,weekly quiz which sport helped timoth e chalamet win a best actor award how much attention did you pay to what happened in the world over the past seven days
"One million spent hours without heat and water after Russian strikes, Ukraine says","Efforts are continuing to restore services in Dnipropetrovsk, officials say, after wide-spread attacks in the southeast.",World,one million spent hours without heat and water after russian strikes ukraine says efforts are continuing to restore services in dnipropetrovsk officials say after wide spread attacks in the southeast
Saudi-led coalition says UAE helped smuggle separatist leader out of Yemen,"Aidarous al-Zubaidi, head of the UAE-backed Southern Transitional Council, fled to Somaliland by boat before flying to Abu Dhabi, according to the coalition.",World,saudi led coalition says uae helped smuggle separatist leader out of yemen aidarous al zubaidi head of the uae backed southern transitional council fled to somaliland by boat before flying to abu dhabi according to the coalition
Eyewitnesses recount deadly ICE shooting in Minneapolis,Renee Good was fatally shot by an ICE agent in the Central neighbourhood of Minneapolis.,World,eyewitnesses recount deadly ice shooting in minneapolis renee good was fatally shot by an ice agent in the central neighbourhood of minneapolis
Trump withdraws US from key climate treaty and dozens of other groups,"The White House says the decision was taken because those entities ""no longer serve American interests"".",World,trump withdraws us from key climate treaty and dozens of other groups the white house says the decision was taken because those entities no longer serve american interests
Lebanese army says it has taken over security in Hezbollah-dominated south,"The army says it has met its goal of clearing the area of non-state weapons but Israel calls the move ""insufficient"".",World,lebanese army says it has taken over security in hezbollah dominated south the army says it has met its goal of clearing the area of non state weapons but israel calls the move insufficient
Spain's Catholic Church signs deal on sexual abuse compensation,The accord follows complaints that religious leaders had failed to tackle the issue adequately.,World,spain s catholic church signs deal on sexual abuse compensation the accord follows complaints that religious leaders had failed to tackle the issue adequately
In pictures: Protests held in US cities after woman shot dead by immigration agent,Renee Nicole Good was shot dead by a federal immigration agent in Minneapolis on Wednesday.,World,in pictures protests held in us cities after woman shot dead by immigration agent renee nicole good was shot dead by a federal immigration agent in minneapolis on wednesday
"Video shows how deadly shooting unfolded, second by second",BBC Verify breaks down how the shooting which killed a 37-year-old woman in Minneapolis unfolded.,World,video shows how deadly shooting unfolded second by second bbc verify breaks down how the shooting which killed a year old woman in minneapolis unfolded
Nasa considers whether to bring sick crew member back to Earth,Nasa is assessing what to do next following a medical issue on board the International Space Station.,World,nasa considers whether to bring sick crew member back to earth nasa is assessing what to do next following a medical issue on board the international space station
Footage shows violent clashes as Iran protests spread to more areas,"Semi-official Iranian media say two police were killed in a western town, as videos show security forces firing guns and tear gas at crowds elsewhere.",World,footage shows violent clashes as iran protests spread to more areas semi official iranian media say two police were killed in a western town as videos show security forces firing guns and tear gas at crowds elsewhere
Berlin power outage highlights German vulnerability to sabotage,The power cut was caused by a suspected arson attack and came as temperatures dipped below freezing.,World,berlin power outage highlights german vulnerability to sabotage the power cut was caused by a suspected arson attack and came as temperatures dipped below freezing
Influential China church reports arrests as crackdown on Christians intensifies,"Leaders of Early Rain Covenant Church have been arrested and Yayang Church is being torn down, groups say.",World,influential china church reports arrests as crackdown on christians intensifies leaders of early rain covenant church have been arrested and yayang church is being torn down groups say
US sighting of rare whale first recorded off Donegal 'extraordinary',North Atlantic right whales are among the planet's most critically endangered large ocean mammals.,World,us sighting of rare whale first recorded off donegal extraordinary north atlantic right whales are among the planet s most critically endangered large ocean mammals
Nigeria's ex-justice minister granted bail in $6m corruption case,Abubakar Malami was one of the most influential figures in the administration of former President Buhari.,World,nigeria s ex justice minister granted bail in m corruption case abubakar malami was one of the most influential figures in the administration of former president buhari
US immigration agent fatally shoots woman in Minneapolis,Trump says the woman was attempting to run over ICE agents. Local leaders disagree.,World,us immigration agent fatally shoots woman in minneapolis trump says the woman was attempting to run over ice agents local leaders disagree
Cambodia extradites alleged scam mastermind to China after arrest,Chen Zhi is charged with turning his business into a front for fraud hubs that stole from people around the world.,World,cambodia extradites alleged scam mastermind to china after arrest chen zhi is charged with turning his business into a front for fraud hubs that stole from people around the world
US job creation in 2025 slows to weakest since Covid,Employment growth for the world's largest economy eased significantly last year.,Business,us job creation in slows to weakest since covid employment growth for the world s largest economy eased significantly last year
US calls Argentina peso bet a 'homerun deal',The US Treasury Secretary said the US no longer held pesos in its exchange stabilisation fund.,Business,us calls argentina peso bet a homerun deal the us treasury secretary said the us no longer held pesos in its exchange stabilisation fund
Backlash against Musk's Grok AI explained,"Technology editor Zoe Kleinman explains the row over changes made by X to its Grok AI image edits, after the UK government called it ""insulting"".",Business,backlash against musk s grok ai explained technology editor zoe kleinman explains the row over changes made by x to its grok ai image edits after the uk government called it insulting
India pushes back at Trump aide's claim about US trade deal breakdown,"India said the US commerce secretary's claims surrounding discussions with Trump were ""not accurate"".",Business,india pushes back at trump aide s claim about us trade deal breakdown india said the us commerce secretary s claims surrounding discussions with trump were not accurate
Darts champion Littler signs sponsorship deal worth reported £20m,World number one Luke Littler signs a record sponsorship deal for a darts player worth a reported £20m.,Business,darts champion littler signs sponsorship deal worth reported m world number one luke littler signs a record sponsorship deal for a darts player worth a reported m
I'm caught in a trademark row with Cambridge University – it's terrifying,The 800-year-old university is in a legal battle with the founder of a rowing company.,Business,i m caught in a trademark row with cambridge university it s terrifying the year old university is in a legal battle with the founder of a rowing company
OpenAI launches ChatGPT Health to review your medical records,The firm says its chatbot sees health and wellbeing questions from 230 million people every week.,Business,openai launches chatgpt health to review your medical records the firm says its chatbot sees health and wellbeing questions from million people every week
The FTSE 100 has hit a record high. Is now the time to start investing?,"As the FTSE hits the 10,000 mark, the UK chancellor is encouraging more people to become investors - but is it the right time?",Business,the ftse has hit a record high is now the time to start investing as the ftse hits the mark the uk chancellor is encouraging more people to become investors but is it the right time
"Trump seeks $100bn for Venezuela oil, but Exxon boss says country 'uninvestable'","Oil executives expressed caution, with one executive saying Venezuela had seized their assets twice.",Business,trump seeks bn for venezuela oil but exxon boss says country uninvestable oil executives expressed caution with one executive saying venezuela had seized their assets twice
'Out of stock': What went wrong at luxury retailer Saks?,"Saks Global, which owns Saks Fifth Avenue and Neiman Marcus, is expected to imminently file for bankruptcy protection, leaving questions about the retailer's future.",Business,out of stock what went wrong at luxury retailer saks saks global which owns saks fifth avenue and neiman marcus is expected to imminently file for bankruptcy protection leaving questions about the retailer s future
"Limiting Grok AI image edits to paid users 'insulting' to victims, says UK government",It comes after government urged Ofcom to use all its powers – up to and including an effective ban – against X.,Business,limiting grok ai image edits to paid users insulting to victims says uk government it comes after government urged ofcom to use all its powers up to and including an effective ban against x
"Weight loss jabs affecting Greggs, boss says","The Greggs boss says there is ""no doubt"" weight loss jabs have led it to having a healthier menu.",Business,weight loss jabs affecting greggs boss says the greggs boss says there is no doubt weight loss jabs have led it to having a healthier menu
Trump calls for US military spending to rise more than 50% to $1.5tn,The president also called on defence firms to increase production or face a crackdown on payouts.,Business,trump calls for us military spending to rise more than to tn the president also called on defence firms to increase production or face a crackdown on payouts
Inside the sub-zero lair of the world's most powerful computer,"In a freezing California lab, Google's new quantum chip is reshaping a global tech race.",Business,inside the sub zero lair of the world s most powerful computer in a freezing california lab google s new quantum chip is reshaping a global tech race
Oligarch linked to bribery paid Andrew £15m for mansion,"Firm which part-funded Sunninghill Park purchase received ""allegedly corrupt"" payments, court documents say.",Business,oligarch linked to bribery paid andrew m for mansion firm which part funded sunninghill park purchase received allegedly corrupt payments court documents say
How tariff disruption will continue reshaping the global economy in 2026,Trump's import levies are still changing the patterns of international trade.,Business,how tariff disruption will continue reshaping the global economy in trump s import levies are still changing the patterns of international trade
"We were fired, and we're owning it – here's how to find a new job that works for you","January is a natural time to reflect on your career. If you're looking for a new job, here are four ways to help.",Business,we were fired and we re owning it here s how to find a new job that works for you january is a natural time to reflect on your career if you re looking for a new job here are four ways to help
Trump backs ban on institutional investor home purchases,"Wall Street investors have bought thousands of homes to rent out, a practice that has sparked concerns about affordability.",Business,trump backs ban on institutional investor home purchases wall street investors have bought thousands of homes to rent out a practice that has sparked concerns about affordability
UK unions accuse McDonald's of 'repeated harassment' against 'mostly teenage' staff,It follows a BBC investigation three years ago which exposed a toxic culture at the fast-food chain.,Business,uk unions accuse mcdonald s of repeated harassment against mostly teenage staff it follows a bbc investigation three years ago which exposed a toxic culture at the fast food chain
"Elon Musk's Grok AI appears to have made child sexual imagery, says charity","It said analysts discovered the images on a dark-web forum, by users who claimed to have used Grok",Business,elon musk s grok ai appears to have made child sexual imagery says charity it said analysts discovered the images on a dark web forum by users who claimed to have used grok
Big freeze causes travel chaos across western Europe,More than 700 flights were cancelled at Amsterdam's Schiphol Airport alone on Wednesday.,Business,big freeze causes travel chaos across western europe more than flights were cancelled at amsterdam s schiphol airport alone on wednesday
"US will control Venezuela oil sales 'indefinitely', official says",Officials say sales were expected to start with 30 million to 50 million barrels of oil and the revenue would be controlled by the US government.,Business,us will control venezuela oil sales indefinitely official says officials say sales were expected to start with million to million barrels of oil and the revenue would be controlled by the us government
Trump says Venezuela will be 'turning over' up to 50 million barrels of oil to US,"Earlier the president said US oil firms could be ""up and running"" in the country within 18 months.",Business,trump says venezuela will be turning over up to million barrels of oil to us earlier the president said us oil firms could be up and running in the country within months
